category,products-name,products-link
smart-phones,Samsung Galaxy Tab A7,https://www.jadroo.com/products/samsung-galaxy-tab-a7-2
smart-phones,Samsung Galaxy A51 Mobile Phone,https://www.jadroo.com/products/samsung-galaxy-a51
smart-phones,Samsung Galaxy Tab A (2019),https://www.jadroo.com/products/samsung-galaxy-tab-a-2019
smart-phones,Samsung Galaxy M02,https://www.jadroo.com/products/samsung-galaxy-m02
smart-phones,"Realme C20A  (2GB,32GB)",https://www.jadroo.com/products/realme-c20a-2gb-32gb
smart-phones,Realme C25Y (4/64),https://www.jadroo.com/products/realme-c25y-464
smart-phones,OPPO A76 6GB/128GB,https://www.jadroo.com/products/oppo-a76-6gb-128gb
smart-phones,Realme GT Neo 2,https://www.jadroo.com/products/realme-gt-neo-2
smart-phones,Realme C11 2021 (2/32 GB),https://www.jadroo.com/products/realme-c11-2021-232-gb
smart-phones,GT Master (8/128),https://www.jadroo.com/products/gt-master-8128
smart-phones,Realme C25s 4/128,https://www.jadroo.com/products/realme-c25s-4128
smart-phones,Realme 8 5G 8/128,https://www.jadroo.com/products/realme-8-5g-8128
smart-phones,Realme 8,https://www.jadroo.com/products/realme-9
smart-phones,OPPO A16e 4GB/64GB,https://www.jadroo.com/products/oppo-a16e-4gb64gb
smart-phones,OPPO F21 Pro 5G 8GB/128GB,https://www.jadroo.com/products/oppo-f21-pro-5g-8gb-128gb
smart-phones,F21 pro 4G 8GB/128GB,https://www.jadroo.com/products/f21-pro-4g-8gb128gb
smart-phones,OPPO A57 4G/64GB,https://www.jadroo.com/products/oppo-a57-4g-64gb
smart-phones,Nokia G21,https://www.jadroo.com/products/nokia-g21
smart-phones,Nokia C2 2nd Edition,https://www.jadroo.com/products/nokia-c2-2nd-edition
smart-phones,Moto G31 (6GB+128GB),https://www.jadroo.com/products/moto-g31-6gb-128gb
smart-phones,Moto G31 (4GB+64GB),https://www.jadroo.com/products/moto-g31-4gb-64gb
smart-phones,Moto E40 (4GB+64GB),https://www.jadroo.com/products/moto-e40-4gb-64gb
smart-phones,Symphony S30,https://www.jadroo.com/products/symphony-s30
smart-phones,Realme C21Y (4+64GB),https://www.jadroo.com/products/realme-c21y-4-64gb
smart-phones,Nokia 105 DS Black,https://www.jadroo.com/products/nokia-105-ds-feature-mobile-phone-black
smart-phones,ENERGIZER H550s,https://www.jadroo.com/products/energizer-h550s
smart-phones,Vivo X80 pro-12GB/256GB,https://www.jadroo.com/products/vivo-x80-pro-12gb256gb
smart-phones,Vivo V23 5G 8GB/128GB,https://www.jadroo.com/products/vivo-v23-5g-8gb128gb
smart-phones,vivo V23e 8GB/128GB,https://www.jadroo.com/products/vivo-v23e-8gb128gb
smart-phones,Vivo Y33s 8GB/128GB,https://www.jadroo.com/products/vivo-y33s-8gb128gb
smart-phones,Vivo Y21T 4GB/128GB,https://www.jadroo.com/products/vivo-y21t-4gb128gb
smart-phones,Vivo Y21 4GB/64GB ,https://www.jadroo.com/products/vivo-y21-4gb64gb
smart-phones,Vivo Y15s 3GB/32GB,https://www.jadroo.com/products/vivo-y15s-3gb32gb
smart-phones,Vivo Y01 2GB/32GB,https://www.jadroo.com/products/vivo-y01-2gb32gb
smart-phones,Realme 9i  (4+64GB),https://www.jadroo.com/products/realme-9i-4-64gb
smart-phones,Realme Narzo 50A Prime,https://www.jadroo.com/products/realme-narzo-50a-prime
smart-phones,Realme 9 Pro Plus,https://www.jadroo.com/products/realme-9-pro-plus
smart-phones,Realme 9 Pro 5G  (8/128),https://www.jadroo.com/products/realme-9-pro-5g-8128
smart-phones,Realme 9 (8+128),https://www.jadroo.com/products/realme-9-8-128
smart-phones,Realme C35 (6/128),https://www.jadroo.com/products/realme-c35-6128
smart-phones,Realme Narzo 50 (6+128 GB),https://www.jadroo.com/products/realme-narzo-50-6-128-gb
smart-phones,Realme C35 4/128,https://www.jadroo.com/products/realme-c35-4-128
smart-phones,Realme C31 4/64,https://www.jadroo.com/products/realme-c31-464
smart-phones,Realme Narzo 50  (4+64 GB),https://www.jadroo.com/products/realme-narzo-50-4-64-gb
smart-phones,Realme 9i (6+128GB),https://www.jadroo.com/products/realme-9i-6-128gb
smart-phones,Samsung  Galaxy Tab S6 Lite,https://www.jadroo.com/products/galaxy-tab-s6-lite
smart-phones,"Motorola Moto G9 Plus 6GB,128GB",https://www.jadroo.com/products/motorola-moto-g9-plus-6gb-128gb
smart-phones,"Motorola Moto G10 Power 4GB,64GB",https://www.jadroo.com/products/motorola-moto-g10-power-4gb-64gb
smart-phones,"Motorola Moto G30 6GB,128GB",https://www.jadroo.com/products/motorola-moto-g30-6gb-128gb
smart-phones,Symphony Z18,https://www.jadroo.com/products/symphony-z18
smart-phones,Symphony Z32,https://www.jadroo.com/products/symphony-z32
smart-phones,Symphony Z40,https://www.jadroo.com/products/symphony-z40
smart-phones,Symphony Z35,https://www.jadroo.com/products/symphony-z35
smart-phones,Symphony Z30,https://www.jadroo.com/products/symphony-z30
smart-phones,Symphony Z30 Pro,https://www.jadroo.com/products/symphony-z30-pro
smart-phones,Nokia 3.4 DS (3/64GB),https://www.jadroo.com/products/nokia-3-4-ds
smart-phones,"Motorola Moto G9 Play 4GB,128GB",https://www.jadroo.com/products/motorola-moto-g9-play-4gb-128gb
smart-phones,Samsung Galaxy M12,https://www.jadroo.com/products/samsung-galaxy-m12-2
smart-phones,Samsung Galaxy A72,https://www.jadroo.com/products/samsung-galaxy-a72
smart-phones,"Samsung Galaxy Note 20 (8GB,256GB)",https://www.jadroo.com/products/samsung-galaxy-note-20-8gb256gb
smart-phones,Oppo A54 (6GB + 128GB),https://www.jadroo.com/products/oppo-a54-6gb-128gb
smart-phones,Nokia 1.4 DS (3GB RAM + 64GB),https://www.jadroo.com/products/nokia-1-4-ds-3gb-ram-64gb
smart-phones,Nokia G20 DS (4GB+64GB),https://www.jadroo.com/products/nokia-g20
smart-phones,"OPPO A95 8GB,128GB",https://www.jadroo.com/products/oppo-a95-8gb-128gb
smart-phones,"Nokia G10 DS (4,64)",https://www.jadroo.com/products/nokia-g10
smart-phones,"Nokia 3.4 DS (4,64)",https://www.jadroo.com/products/nokia-3-4-ds-4-64
smart-phones,Nokia 110 DS 4G,https://www.jadroo.com/products/nokia-110-ds-4g
smart-phones,Moto G60 (6+128GB),https://www.jadroo.com/products/moto-g60-6-128gb
smart-phones,Moto G40 fusion ( 6GB+128GB),https://www.jadroo.com/products/moto-g40-fusion-6gb-128gb
smart-phones,Samsung Galaxy A52s 5G 8GB+128GB,https://www.jadroo.com/products/samsung-galaxy-a52s-5g-8gb-128gb
smart-phones,Oppo A16 (4GB + 64 GB),https://www.jadroo.com/products/oppo-a16-4gb-64-gb
smart-phones,Oppo A16 (3GB + 32 GB),https://www.jadroo.com/products/oppo-a16-3gb-32-gb
smart-phones,"Samsung Galaxy F22 6GB,128GB",https://www.jadroo.com/products/samsung-galaxy-f22-6gb-128gb
smart-phones,"Realme Narzo 30  (6GB,128GB)",https://www.jadroo.com/products/realme-narzo-30-6gb-128gb
smart-phones,Symphony G10 Plus,https://www.jadroo.com/products/symphony-g10-plus
smart-phones,OnePlus 8 (8GB 128GB) Interstellar Glow,https://www.jadroo.com/products/oneplus-8-8gb-128gb-onyx-black
smart-phones,Symphony Z35 (4GB+64GB),https://www.jadroo.com/products/symphony-z35-4gb-64gb
smart-phones,Symphony Atom II,https://www.jadroo.com/products/symphony-atom-ii
smart-phones,"Motorola Moto G8 Power Lite 4GB,64GB",https://www.jadroo.com/products/motorola-moto-g8-power-lite-4gb-64gb
